512.0,128.0,512.0,46.54545454545455,23.4401,8.0,Baseline
512.0,256.0,512.0,73.14285714285714,43.6339,8.0,Baseline
512.0,512.0,512.0,102.4,84.0963,8.0,Baseline
512.0,1024.0,512.0,128.0,182.114,8.0,Baseline
512.0,2048.0,512.0,146.28571428571428,359.954,8.0,Baseline
512.0,4096.0,512.0,157.53846153846155,561.727,8.0,Baseline
512.0,128.0,512.0,46.54545454545455,17.6509,8.0,PoC
512.0,256.0,512.0,73.14285714285714,48.055,8.0,PoC
512.0,512.0,512.0,102.4,86.397,8.0,PoC
512.0,1024.0,512.0,128.0,167.615,8.0,PoC
512.0,2048.0,512.0,146.28571428571428,288.33,8.0,PoC
512.0,4096.0,512.0,157.53846153846155,618.871,8.0,PoC
