M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
128,512,4096,bf16,32,32,32,158.822,34603008,4,8,512,0.0,135397376,0.0,0.26
128,1024,128,bf16,32,32,32,0.0,2129920,64,64,16,16.1942,819200,0.0,2.6
128,1024,256,bf16,32,32,32,21.111,4259840,64,64,32,33.3286,1376256,1.58,3.1
128,1024,512,bf16,32,32,32,43.0695,8519680,64,16,64,64.3509,2490368,1.49,3.42
128,1024,1024,bf16,32,32,32,80.5353,17039360,32,16,128,119.804,8912896,1.49,1.91
128,1024,2048,bf16,32,32,32,151.877,34078720,16,8,256,209.197,34340864,1.38,0.99
128,1024,4096,bf16,32,32,32,279.536,68157440,4,8,512,0.0,269746176,0.0,0.25
128,2048,128,bf16,32,32,32,0.0,4227072,32,128,16,32.3835,2654208,0.0,1.59
128,2048,256,bf16,32,32,32,42.4205,8454144,32,128,32,62.6494,4784128,1.48,1.77
128,2048,512,bf16,32,32,32,79.2874,16908288,32,64,64,123.387,9043968,1.56,1.87
128,2048,1024,bf16,32,32,32,159.899,33816576,32,16,128,213.591,17563648,1.34,1.93
128,2048,2048,bf16,32,32,32,267.137,67633152,16,8,256,346.331,68157440,1.3,0.99
128,2048,4096,bf16,32,32,32,0.0,135266304,4,8,512,0.0,538443776,0.0,0.25
128,4096,128,bf16,32,32,32,0.0,8421376,32,128,16,60.0671,5275648,0.0,1.6
128,4096,256,bf16,32,32,32,84.8037,16842752,32,128,32,118.005,9502720,1.39,1.77
128,4096,512,bf16,32,32,32,175.51,33685504,32,64,64,241.209,17956864,1.37,1.88
128,4096,1024,bf16,32,32,32,313.362,67371008,32,16,128,396.473,34865152,1.27,1.93
128,4096,2048,bf16,32,32,32,0.0,134742016,16,8,256,0.0,135790592,0.0,0.99
128,4096,4096,bf16,32,32,32,896.709,269484032,4,8,512,0.0,1075838976,0.0,0.25
256,64,128,bf16,32,32,32,0.0,327680,128,32,16,2.32182,131072,0.0,2.5
256,64,256,bf16,32,32,32,2.76704,655360,64,64,32,4.36394,294912,1.58,2.22
256,64,512,bf16,32,32,32,5.84249,1310720,64,16,64,9.11198,557056,1.56,2.35
256,64,1024,bf16,32,32,32,11.4906,2621440,32,16,128,16.7156,1605632,1.45,1.63
256,64,2048,bf16,32,32,32,21.9968,5242880,16,8,256,34.321,5275648,1.56,0.99
