M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
2048,512,2048,bf16,32,32,32,965.98,276824064,16,8,256,648.982,278921216,0.67,0.99
2048,512,4096,bf16,32,32,32,1329.4,553648128,4,8,512,0.0,2166358016,0.0,0.26
2048,1024,128,bf16,32,32,32,0.0,34078720,128,32,16,244.307,8912896,0.0,3.82
2048,1024,256,bf16,32,32,32,329.239,68157440,64,64,32,412.681,22020096,1.25,3.1
2048,1024,512,bf16,32,32,32,0.0,136314880,64,16,64,0.0,39845888,0.0,3.42
2048,1024,1024,bf16,32,32,32,967.232,272629760,32,16,128,817.975,142606336,0.85,1.91
2048,1024,2048,bf16,32,32,32,1244.64,545259520,16,8,256,777.974,549453824,0.63,0.99
2048,1024,4096,bf16,32,32,32,1550.82,1090519040,4,8,512,0.0,4315938816,0.0,0.25
2048,2048,128,bf16,32,32,32,0.0,67633152,32,128,16,411.249,42467328,0.0,1.59
2048,2048,256,bf16,32,32,32,0.0,135266304,32,128,32,0.0,76546048,0.0,1.77
2048,2048,512,bf16,32,32,32,974.209,270532608,32,64,64,926.256,144703488,0.95,1.87
2048,2048,1024,bf16,32,32,32,1360.64,541065216,32,16,128,989.262,281018368,0.73,1.93
2048,2048,2048,bf16,32,32,32,1379.65,1082130432,16,8,256,836.587,1090519040,0.61,0.99
2048,2048,4096,bf16,32,32,32,1723.9,2164260864,4,8,512,0.0,8615100416,0.0,0.25
2048,4096,128,bf16,32,32,32,0.0,134742016,32,128,16,0.0,84410368,0.0,1.6
2048,4096,256,bf16,32,32,32,967.291,269484032,32,128,32,937.221,152043520,0.97,1.77
2048,4096,512,bf16,32,32,32,1431.34,538968064,32,64,64,1140.18,287309824,0.8,1.88
2048,4096,1024,bf16,32,32,32,1504.97,1077936128,32,16,128,1073.02,557842432,0.71,1.93
2048,4096,2048,bf16,32,32,32,1643.28,2155872256,16,8,256,889.98,2172649472,0.54,0.99
2048,4096,4096,bf16,32,32,32,1979.59,4311744512,4,8,512,0.0,17213423616,0.0,0.25
4096,64,128,bf16,32,32,32,0.0,5242880,128,32,16,33.9257,2097152,0.0,2.5
4096,64,256,bf16,32,32,32,41.2813,10485760,128,16,32,68.3204,3670016,1.65,2.86
4096,64,512,bf16,32,32,32,81.5239,20971520,64,16,64,124.125,8912896,1.52,2.35
4096,64,1024,bf16,32,32,32,166.796,41943040,32,16,128,217.689,25690112,1.31,1.63
4096,64,2048,bf16,32,32,32,299.599,83886080,16,8,256,347.528,84410368,1.16,0.99
4096,64,4096,bf16,32,32,32,0.0,167772160,4,8,512,0.0,570949632,0.0,0.29
4096,128,128,bf16,32,32,32,0.0,9437184,128,32,16,60.6348,3145728,0.0,3.0
4096,128,256,bf16,32,32,32,84.4266,18874368,64,64,32,124.441,7340032,1.47,2.57
4096,128,512,bf16,32,32,32,168.913,37748736,64,16,64,224.233,13631488,1.33,2.77
4096,128,1024,bf16,32,32,32,309.847,75497472,32,16,128,391.64,42991616,1.26,1.76
4096,128,2048,bf16,32,32,32,0.0,150994944,16,8,256,0.0,152043520,0.0,0.99
4096,128,4096,bf16,32,32,32,860.331,301989888,4,8,512,0.0,1108344832,0.0,0.27
4096,256,128,bf16,32,32,32,0.0,17825792,128,32,16,123.059,5242880,0.0,3.4
4096,256,256,bf16,32,32,32,169.655,35651584,64,64,32,233.875,12582912,1.38,2.83
4096,256,512,bf16,32,32,32,314.893,71303168,64,16,64,378.522,23068672,1.2,3.09
4096,256,1024,bf16,32,32,32,0.0,142606336,32,16,128,0.0,77594624,0.0,1.84
4096,256,2048,bf16,32,32,32,912.598,285212672,16,8,256,648.453,287309824,0.71,0.99
4096,256,4096,bf16,32,32,32,1383.53,570425344,4,8,512,0.0,2183135232,0.0,0.26
4096,512,128,bf16,32,32,32,0.0,34603008,128,32,16,239.684,9437184,0.0,3.67
4096,512,256,bf16,32,32,32,321.733,69206016,64,64,32,416.688,23068672,1.3,3.0
4096,512,512,bf16,32,32,32,0.0,138412032,64,16,64,0.0,41943040,0.0,3.3
4096,512,1024,bf16,32,32,32,959.579,276824064,32,16,128,797.308,146800640,0.83,1.89
4096,512,2048,bf16,32,32,32,1373.09,553648128,16,8,256,761.468,557842432,0.55,0.99
4096,512,4096,bf16,32,32,32,1711.19,1107296256,4,8,512,0.0,4332716032,0.0,0.26
4096,1024,128,bf16,32,32,32,0.0,68157440,128,32,16,416.624,17825792,0.0,3.82
4096,1024,256,bf16,32,32,32,0.0,136314880,64,64,32,0.0,44040192,0.0,3.1
4096,1024,512,bf16,32,32,32,962.472,272629760,64,16,64,796.232,79691776,0.83,3.42
4096,1024,1024,bf16,32,32,32,1408.28,545259520,32,16,128,985.604,285212672,0.7,1.91
4096,1024,2048,bf16,32,32,32,1588.38,1090519040,16,8,256,823.691,1098907648,0.52,0.99
4096,1024,4096,bf16,32,32,32,1732.18,2181038080,4,8,512,0.0,8631877632,0.0,0.25
4096,2048,128,bf16,32,32,32,0.0,135266304,32,128,16,0.0,84934656,0.0,1.59
4096,2048,256,bf16,32,32,32,966.514,270532608,32,128,32,940.139,153092096,0.97,1.77
4096,2048,512,bf16,32,32,32,1420.84,541065216,32,64,64,1144.7,289406976,0.81,1.87
4096,2048,1024,bf16,32,32,32,1731.9,1082130432,32,16,128,1082.29,562036736,0.62,1.93
4096,2048,2048,bf16,32,32,32,1614.83,2164260864,16,8,256,890.121,2181038080,0.55,0.99
4096,2048,4096,bf16,32,32,32,1980.47,4328521728,4,8,512,0.0,17230200832,0.0,0.25
4096,4096,128,bf16,32,32,32,0.0,269484032,32,128,16,831.271,168820736,0.0,1.6
4096,4096,256,bf16,32,32,32,1397.7,538968064,32,128,32,1164.99,304087040,0.83,1.77
4096,4096,512,bf16,32,32,32,1870.86,1077936128,32,64,64,1284.66,574619648,0.69,1.88
4096,4096,1024,bf16,32,32,32,1747.89,2155872256,32,16,128,1140.0,1115684864,0.65,1.93
4096,4096,2048,bf16,32,32,32,1972.28,4311744512,16,8,256,922.526,4345298944,0.47,0.99
4096,4096,4096,bf16,32,32,32,0.0,8623489024,4,8,512,0.0,34426847232,0.0,0.25
16,512,512,bf16,32,32,32,0.0,0,8,128,64,4.48105,1081344,0.0,0.0
16,512,1024,bf16,32,32,32,0.0,0,8,64,128,9.56031,2146304,0.0,0.0
16,512,2048,bf16,32,32,32,0.0,0,8,16,256,17.9391,4276224,0.0,0.0
